Row ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Order ID,Customer Name,Customer Segment,Province,Region,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date,Returns
127,23/11/2010,Medium,45,196.85,0.01,Regular Air,-166.85,4.28,6.18,807,Neola Schneider,Home Office,Nunavut,Nunavut,Office Supplies,Paper,Xerox 1980,Small Box,0.4,24/11/2010,Sold
128,23/11/2010,Medium,32,124.56,0.04,Regular Air,-14.33,3.95,2,807,Neola Schneider,Home Office,Nunavut,Nunavut,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,0.53,24/11/2010,Sold
134,08/06/2012,Not Specified,32,716.84,0,Regular Air,134.72,21.78,5.94,868,Carlos Daly,Home Office,Nunavut,Nunavut,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,09/06/2012,Sold
135,08/06/2012,Not Specified,31,1474.33,0.04,Regular Air,114.46,47.98,3.61,868,Carlos Daly,Home Office,Nunavut,Nunavut,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.71,10/06/2012,Sold
149,04/08/2012,Not Specified,15,80.61,0.02,Regular Air,-4.72,5.28,2.99,933,Claudia Miner,Small Business,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Small Box,0.37,04/08/2012,Sold
160,30/05/2011,Medium,46,1815.49,0.03,Regular Air,782.91,39.89,3.04,995,Neola Schneider,Home Office,Nunavut,Nunavut,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,0.53,31/05/2011,Sold
161,25/11/2009,Not Specified,16,248.26,0.07,Regular Air,93.80,15.74,1.39,998,Allen Rosenblatt,Small Business,Nunavut,Nunavut,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Small Box,0.4,26/11/2009,Sold
175,14/02/2012,Critical,44,4462.23,0.04,Delivery Truck,440.72,100.98,26.22,1154,Sylvia Foulston,Home Office,Nunavut,Nunavut,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box,0.6,16/02/2012,Sold
176,14/02/2012,Critical,11,663.784,0.25,Regular Air,-481.04,71.37,69,1154,Sylvia Foulston,Home Office,Nunavut,Nunavut,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,0.68,16/02/2012,Sold
203,15/04/2012,Low,15,834.904,0.06,Regular Air,-11.68,65.99,5.26,1344,Jim Radford,Corporate,Nunavut,Nunavut,Technology,Telephones and Communication,g520,Small Box,0.59,22/04/2012,Sold
204,15/04/2012,Low,18,2480.9205,0.01,Regular Air,313.58,155.99,8.99,1344,Jim Radford,Corporate,Nunavut,Nunavut,Technology,Telephones and Communication,LX 788,Small Box,0.58,19/04/2012,Sold
213,12/03/2010,Not Specified,13,59.03,0.1,Express Air,26.92,3.69,0.5,1412,Carlos Soltero,Consumer,Nunavut,Nunavut,Office Supplies,Labels,Avery 52,Small Box,0.38,14/03/2010,Sold
214,12/03/2010,Not Specified,21,97.48,0.05,Regular Air,-5.77,4.71,0.7,1412,Carlos Soltero,Consumer,Nunavut,Nunavut,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,0.8,14/03/2010,Sold
229,09/03/2011,Low,33,511.83,0.1,Regular Air,-172.88,15.99,13.18,1539,Carl Ludwig,Corporate,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,11/03/2011,Sold
230,09/03/2011,Low,38,184.99,0.05,Regular Air,-144.55,4.89,4.93,1539,Carl Ludwig,Corporate,Nunavut,Nunavut,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Small Pack,0.66,14/03/2011,Sold
231,04/08/2012,High,30,80.9,0.09,Regular Air,5.76,2.88,0.7,1540,Don Miller,Home Office,Nunavut,Nunavut,Office Supplies,Pens & Art Supplies,Newell 335,Wrap Bag,0.56,06/08/2012,Sold
249,06/05/2011,High,23,67.24,0.06,Regular Air,4.90,2.84,0.93,1702,Annie Cyprus,Home Office,Nunavut,Nunavut,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accent™ Tank-Style Highlighters,Wrap Bag,0.54,07/05/2011,Sold
250,23/12/2010,High,25,12028.23,0.01,Delivery Truck,-547.61,449.99,49,1761,Carl Ludwig,Corporate,Nunavut,Nunavut,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum,0.38,25/12/2010,Sold
256,08/11/2010,Low,28,370.48,0.04,Regular Air,-5.45,13.48,4.51,1792,Carlos Soltero,Consumer,Nunavut,Nunavut,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,0.59,13/11/2010,Sold
330,21/10/2012,Not Specified,49,278,0.08,Regular Air,41.67,6.08,1.17,2275,Grant Carroll,Small Business,Nunavut,Nunavut,Office Supplies,Pens & Art Supplies,Col-Erase® Pencils with Erasers,Wrap Bag,0.56,22/10/2012,Sold
331,01/01/2011,Not Specified,10,66.54,0.01,Regular Air,-46.03,5.98,4.38,2277,Don Miller,Home Office,Nunavut,Nunavut,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Small Pack,0.75,02/01/2011,Sold
332,01/01/2011,Not Specified,21,845.32,0.06,Regular Air,33.67,40.99,19.99,2277,Don Miller,Home Office,Nunavut,Nunavut,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Small Box,0.36,03/01/2011,Sold
362,10/10/2011,High,39,282.07,0.03,Regular Air,140.01,7.31,0.49,2532,Alan Barnes,Corporate,Nunavut,Nunavut,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box,0.38,11/10/2011,Sold
363,10/10/2011,High,24,426.037,0.01,Regular Air,-78.96,20.99,2.5,2532,Alan Barnes,Corporate,Nunavut,Nunavut,Technology,Telephones and Communication,Accessory37,Wrap Bag,0.81,11/10/2011,Sold
381,23/09/2010,Low,27,1078.49,0.08,Regular Air,252.66,40.96,1.99,2631,Jack Garza,Corporate,Nunavut,Nunavut,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack,0.55,25/09/2010,Sold
406,19/07/2011,Critical,39,3554.46,0.07,Delivery Truck,-1766.01,95.95,74.35,2757,Julia West,Corporate,Nunavut,Nunavut,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Jumbo Drum,0.57,19/07/2011,Sold
413,09/10/2009,High,47,191.67,0,Regular Air,-236.27,3.89,7.01,2791,Eugene Barchas,Corporate,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Small Box,0.37,09/10/2009,Sold
414,09/10/2009,High,49,5586.33,0.09,Delivery Truck,80.44,120.98,30,2791,Eugene Barchas,Corporate,Nunavut,Nunavut,Furniture,Chairs & Chairmats,Hon Every-Day® Chair Series Swivel Task Chairs,Jumbo Drum,0.64,11/10/2009,Sold
415,09/10/2009,High,18,507.64,0.1,Regular Air,118.94,30.98,5.76,2791,Eugene Barchas,Corporate,Nunavut,Nunavut,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Small Box,0.4,10/10/2009,Sold
440,09/12/2010,Not Specified,30,14223.82,0.09,Delivery Truck,3424.22,500.98,26,2976,Edward Hooks,Consumer,Nunavut,Nunavut,Furniture,Chairs & Chairmats,Global Troy™ Executive Leather Low-Back Tilter,Jumbo Drum,0.6,11/12/2010,Sold
471,08/10/2012,Critical,5,42.66,0.06,Regular Air,-11.83,7.84,4.71,3232,Brad Eason,Small Business,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,Small Box,0.35,10/10/2012,Sold
513,02/05/2012,High,21,427.32,0,Regular Air,52.35,18.97,9.03,3524,Nicole Hansen,Small Business,Nunavut,Nunavut,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37,03/05/2012,Sold
577,08/03/2010,Medium,8,820.284,0,Regular Air,-180.20,115.99,2.5,3908,Dorothy Wardle,Corporate,Nunavut,Nunavut,Technology,Telephones and Communication,6160,Small Box,0.57,08/03/2010,Sold
606,28/05/2011,Not Specified,5,14.76,0.01,Regular Air,1.32,2.88,0.5,4132,Aaron Bergman,Corporate,Nunavut,Nunavut,Office Supplies,Labels,Avery 49,Small Box,0.36,30/05/2011,Sold
656,19/09/2010,Medium,9,89.55,0.06,Regular Air,-375.64,4.48,49,4612,Jim Radford,Corporate,Nunavut,Nunavut,Office Supplies,Appliances,Hoover Portapower™ Portable Vacuum,Large Box,0.6,21/09/2010,Sold
669,31/08/2011,High,11,1210.0515,0.04,Regular Air,-104.25,125.99,7.69,4676,Annie Cyprus,Home Office,Nunavut,Nunavut,Technology,Telephones and Communication,Timeport L7089,Small Box,0.58,01/09/2011,Sold
670,31/08/2011,High,50,187.83,0.03,Regular Air,85.96,3.75,0.5,4676,Annie Cyprus,Home Office,Nunavut,Nunavut,Office Supplies,Labels,Avery 510,Small Box,0.37,02/09/2011,Sold
671,31/08/2011,High,3,49.59,0.07,Express Air,-8.38,12.28,6.47,4676,Annie Cyprus,Home Office,Nunavut,Nunavut,Office Supplies,Paper,Xerox 1881,Small Box,0.38,02/09/2011,Sold
672,31/08/2011,High,30,4253.009,0.01,Regular Air,1115.69,155.99,8.99,4676,Annie Cyprus,Home Office,Nunavut,Nunavut,Technology,Telephones and Communication,LX 788,Small Box,0.58,01/09/2011,Sold
734,08/07/2011,Not Specified,7,59.38,0.1,Regular Air,-3.05,8.69,2.99,5284,Annie Cyprus,Home Office,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,10/07/2011,Sold
735,30/01/2009,Critical,42,1285.37,0.1,Regular Air,514.07,31.78,1.99,5316,Clay Rozendal,Corporate,Nunavut,Nunavut,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack",Small Pack,0.42,01/02/2009,Sold
755,08/01/2012,Low,11,48.91,0.01,Regular Air,-7.04,3.98,2.97,5409,Don Jones,Corporate,Nunavut,Nunavut,Office Supplies,Paper,Unpadded Memo Slips,Wrap Bag,0.35,13/01/2012,Sold
769,07/11/2010,Critical,22,129.62,0.05,Regular Air,4.41,5.88,3.04,5506,Beth Thompson,Corporate,Nunavut,Nunavut,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Wrap Bag,0.36,08/11/2010,Sold
782,29/04/2010,Not Specified,12,118.97,0.09,Regular Air,-0.06,9.65,6.22,5569,Frank Price,Corporate,Nunavut,Nunavut,Furniture,Office Furnishings,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Small Box,0.55,01/05/2010,Sold
786,31/12/2011,Not Specified,8,61.8715,0,Regular Air,-50.33,7.99,5.03,5607,Michelle Lonsdale,Home Office,Nunavut,Nunavut,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,03/01/2012,Sold
817,12/08/2009,High,7,384.33,0.1,Regular Air,87.68,58.1,1.49,5894,Ann Chong,Corporate,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,Small Box,0.38,13/08/2009,Sold
818,12/08/2009,High,3,239.03,0.01,Regular Air,-68.22,80.48,4.5,5894,Ann Chong,Corporate,Nunavut,Nunavut,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,Small Box,0.55,15/08/2009,Sold
821,12/11/2011,Low,44,3922.42,0.08,Regular Air,-354.90,92.23,39.61,5925,Joy Bell,Home Office,Nunavut,Nunavut,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Medium Box,0.67,19/11/2011,Sold
822,12/11/2011,Low,25,1733.3625,0.07,Regular Air,-267.01,85.99,0.99,5925,Joy Bell,Home Office,Nunavut,Nunavut,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.85,19/11/2011,Sold
839,20/01/2012,High,19,208.28,0.07,Regular Air,3.63,11.48,5.43,6016,Skye Norling,Home Office,Nunavut,Nunavut,Office Supplies,Paper,Personal Creations™ Ink Jet Cards and Labels,Small Box,0.36,20/01/2012,Sold
853,20/03/2009,Medium,6,9620.82,0.04,Regular Air,-1759.58,1637.53,24.49,6116,Barry Weirich,Corporate,Nunavut,Nunavut,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Medium Box,0.81,22/03/2009,Sold
863,21/07/2012,Low,40,255.48,0.04,Regular Air,-116.79,6.48,6.65,6182,Grant Carroll,Corporate,Nunavut,Nunavut,Office Supplies,Paper,Xerox 1966,Small Box,0.36,28/07/2012,Sold
864,21/07/2012,Low,18,130.32,0.04,Express Air,-67.28,6.48,7.86,6182,Grant Carroll,Corporate,Nunavut,Nunavut,Office Supplies,Paper,Xerox 213,Small Box,0.37,25/07/2012,Sold
911,12/06/2012,Critical,11,312.36,0.07,Express Air,-19.33,28.15,8.99,6535,Adrian Hane,Corporate,Nunavut,Nunavut,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Small Pack,0.57,15/06/2012,Sold
950,15/01/2009,Low,41,217,0.01,Regular Air,-61.21,4.98,4.75,6884,Skye Norling,Home Office,Nunavut,Nunavut,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box,0.36,20/01/2009,Sold
951,15/01/2009,Low,47,296.13,0.04,Regular Air,119.09,6.35,1.02,6884,Skye Norling,Home Office,Nunavut,Nunavut,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Wrap Bag,0.39,20/01/2009,Sold
956,04/06/2010,Low,40,436.17,0.08,Express Air,-141.27,10.9,7.46,6916,Andrew Gjertsen,Consumer,Nunavut,Nunavut,Office Supplies,Storage & Organization,Crate-A-Files™,Small Box,0.59,08/06/2010,Sold
963,18/02/2010,Not Specified,18,136.29,0.05,Regular Air,-77.28,7.3,7.72,6980,Ralph Knight,Consumer,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,19/02/2010,Sold
964,16/11/2011,Not Specified,32,1311.25,0,Express Air,407.44,39.48,1.99,6982,Dorothy Wardle,Corporate,Nunavut,Nunavut,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,18/11/2011,Sold
965,16/11/2011,Not Specified,5,544.41,0.09,Delivery Truck,-338.27,100.98,57.38,6982,Dorothy Wardle,Corporate,Nunavut,Nunavut,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box,0.78,18/11/2011,Sold
966,16/11/2011,Not Specified,41,844.09,0.04,Regular Air,52.56,19.98,10.49,6982,Dorothy Wardle,Corporate,Nunavut,Nunavut,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,Small Box,0.49,18/11/2011,Sold
988,07/08/2011,Low,22,6396.2,0.02,Regular Air,1902.24,276.2,24.49,7110,Grant Carroll,Corporate,Nunavut,Nunavut,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Large Box,,11/08/2011,Sold
1017,08/06/2010,Medium,50,751.77,0.05,Regular Air,353.20,15.67,1.39,7430,Barry Weirich,Corporate,Nunavut,Nunavut,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Small Box,0.38,09/06/2010,Sold
1073,17/10/2009,Medium,37,1003.06,0.03,Regular Air,271.78,25.98,5.37,7906,Beth Paige,Consumer,Nunavut,Nunavut,Office Supplies,Appliances,3M Office Air Cleaner,Medium Box,0.5,17/10/2009,Sold
1154,28/08/2011,High,4,1266.72,0.04,Delivery Truck,-268.36,300.98,64.73,8391,Sylvia Foulston,Corporate,Nunavut,Nunavut,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Jumbo Drum,0.56,29/08/2011,Sold
1156,29/09/2011,Critical,19,368.04,0.07,Express Air,70.39,19.98,5.97,8419,Nicole Hansen,Small Business,Nunavut,Nunavut,Office Supplies,Paper,Xerox 1936,Small Box,0.38,01/10/2011,Sold
1157,29/09/2011,Critical,24,152.6,0.1,Regular Air,-86.62,6.48,7.03,8419,Nicole Hansen,Small Business,Nunavut,Nunavut,Office Supplies,Paper,Xerox 214,Small Box,0.37,30/09/2011,Sold
1205,04/05/2012,Low,40,3338.98,0,Regular Air,-846.73,80.98,35,8833,Nicole Hansen,Small Business,Nunavut,Nunavut,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,Large Box,0.81,08/05/2012,Sold
1226,17/05/2011,High,5,24.16,0.08,Express Air,8.05,1.88,1.49,8995,Beth Paige,Consumer,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,Staples® General Use 3-Ring Binders,Small Box,0.37,18/05/2011,Sold
1227,17/05/2011,High,41,270.84,0.1,Express Air,-78.02,6.48,5.86,8995,Beth Paige,Consumer,Northwest Territories,Northwest Territories,Office Supplies,Paper,Xerox 1904,Small Box,0.36,18/05/2011,Sold
1228,17/05/2011,High,35,3389.93,0.08,Express Air,737.94,102.3,21.26,8995,Beth Paige,Consumer,Northwest Territories,Northwest Territories,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps,Large Box,0.59,18/05/2011,Sold
1229,17/05/2011,High,42,266.36,0.07,Regular Air,-191.28,6.48,8.19,8995,Beth Paige,Consumer,Northwest Territories,Northwest Territories,Office Supplies,Paper,Xerox 217,Small Box,0.37,18/05/2011,Sold
1230,17/05/2011,High,46,89.41,0.01,Regular Air,-21.49,1.89,0.76,8995,Beth Paige,Consumer,Northwest Territories,Northwest Territories,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere,Wrap Bag,0.83,19/05/2011,Sold
1258,17/11/2009,Medium,47,2799.7,0.04,Regular Air,884.08,62.05,3.99,9126,Sylvia Foulston,Corporate,Northwest Territories,Northwest Territories,Office Supplies,Appliances,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Small Box,0.55,18/11/2009,Sold
1259,10/10/2011,Not Specified,7,2039.56,0.04,Express Air,-329.49,279.48,35,9127,Bryan Davis,Corporate,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box,0.8,12/10/2011,Sold
1299,07/10/2012,Not Specified,36,12175.82,0.02,Delivery Truck,2825.15,320.98,58.95,9509,Joy Bell,Home Office,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Jumbo Drum,0.57,08/10/2012,Sold
1300,07/10/2012,Not Specified,5,101.21,0.1,Express Air,2.13,18.97,5.21,9509,Joy Bell,Home Office,Northwest Territories,Northwest Territories,Office Supplies,Paper,Xerox 1887,Small Box,0.37,08/10/2012,Sold
1301,07/10/2012,Not Specified,32,1585.64,0.02,Regular Air,707.15,48.91,5.81,9509,Joy Bell,Home Office,Northwest Territories,Northwest Territories,Office Supplies,Paper,Xerox 1891,Small Box,0.38,07/10/2012,Sold
1337,13/08/2011,Medium,44,176.26,0.07,Regular Air,75.13,4.13,0.5,9763,Alan Barnes,Corporate,Northwest Territories,Northwest Territories,Office Supplies,Labels,Avery 506,Small Box,0.39,16/08/2011,Sold
1370,16/08/2011,High,32,4655.07,0,Delivery Truck,-270.63,140.98,53.48,9927,Grant Carroll,Corporate,Northwest Territories,Northwest Territories,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Jumbo Box,0.65,17/08/2011,Returned
1371,16/08/2011,High,44,10087.6,0.01,Regular Air,3387.35,218.08,18.06,9927,Grant Carroll,Corporate,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",Large Box,0.57,17/08/2011,Returned
1372,16/08/2011,High,34,1608.08,0.09,Express Air,-82.16,50.98,6.5,9927,Grant Carroll,Corporate,Northwest Territories,Northwest Territories,Technology,Computer Peripherals,Microsoft Natural Multimedia Keyboard,Small Box,0.73,17/08/2011,Returned
1380,04/03/2009,Low,1,12.18,0.06,Regular Air,-3.88,10.14,2.27,10022,Delfina Latchford,Small Business,Northwest Territories,Northwest Territories,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Wrap Bag,0.36,04/03/2009,Sold
1445,18/08/2009,Critical,50,820.52,0.01,Regular Air,-191.22,15.99,13.18,10437,Don Jones,Corporate,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,20/08/2009,Sold
1457,16/11/2010,Not Specified,29,6250.936,0.01,Delivery Truck,31.21,262.11,62.74,10499,Doug Bickford,Corporate,Northwest Territories,Northwest Territories,Furniture,Tables,Bevis Boat-Shaped Conference Table,Jumbo Box,0.75,17/11/2010,Sold
1462,27/05/2011,Low,25,854.88,0.09,Regular Air,-44.14,33.98,19.99,10535,Doug Bickford,Corporate,Northwest Territories,Northwest Territories,Furniture,Office Furnishings,"Linden® 12"" Wall Clock With Oak Frame",Small Box,0.55,29/05/2011,Sold
1463,27/05/2011,Low,46,80.27,0.09,Regular Air,-0.79,1.76,0.7,10535,Doug Bickford,Corporate,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies,Newell 326,Wrap Bag,0.56,03/06/2011,Sold
1495,23/08/2010,Not Specified,15,308.54,0,Express Air,76.42,19.84,4.1,10789,Jamie Kunitz,Corporate,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.44,24/08/2010,Sold
1496,19/08/2011,Not Specified,20,400.57,0.05,Regular Air,93.36,19.98,5.77,10791,Anthony Johnson,Small Business,Northwest Territories,Northwest Territories,Office Supplies,Paper,Xerox Blank Computer Paper,Small Box,0.38,21/08/2011,Sold
1513,03/01/2012,Medium,14,1170.025,0.04,Regular Air,4.22,95.99,8.99,10945,Ralph Knight,Consumer,Northwest Territories,Northwest Territories,Technology,Telephones and Communication,600 Series Flip,Small Box,0.57,05/01/2012,Sold
1544,29/11/2012,High,48,5188.86,0.1,Regular Air,395.12,111.03,8.64,11137,Allen Rosenblatt,Small Business,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization,Fellowes Recycled Storage Drawers,Small Box,0.78,30/11/2012,Sold
1551,17/03/2012,Medium,8,339.81,0.05,Regular Air,79.59,43.41,2.99,11202,Barry Weirich,Corporate,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories,Satellite Sectional Post Binders,Small Box,0.39,18/03/2012,Sold
1589,12/04/2010,Low,15,1519.9,0.09,Regular Air,399.37,105.34,24.49,11456,Doug Bickford,Corporate,Northwest Territories,Northwest Territories,Furniture,Office Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Large Box,0.61,19/04/2010,Sold
1590,24/08/2010,High,30,102.24,0.09,Regular Air,37.79,3.69,0.5,11460,Carl Jackson,Home Office,Northwest Territories,Northwest Territories,Office Supplies,Labels,Avery 487,Small Box,0.38,26/08/2010,Sold
1594,04/07/2011,High,6,965.69,0,Delivery Truck,-144.20,146.34,43.75,11495,Brendan Dodson,Corporate,Northwest Territories,Northwest Territories,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,Jumbo Box,0.65,05/07/2011,Sold
1654,10/11/2010,Critical,25,397.84,0,Regular Air,-14.75,15.22,9.73,11911,Edward Hooks,Consumer,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories,"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black",Small Box,0.36,12/11/2010,Returned
1655,24/06/2010,Critical,4,73.07,0.08,Regular Air,-41.01,15.7,11.25,11941,Jamie Kunitz,Corporate,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box,0.6,25/06/2010,Sold
1656,24/06/2010,Critical,26,4679.1,0.05,Delivery Truck,111.52,179.29,29.21,11941,Jamie Kunitz,Corporate,Northwest Territories,Northwest Territories,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",Jumbo Box,0.74,25/06/2010,Sold
1675,19/09/2012,Medium,46,8009.5925,0.02,Regular Air,2332.40,200.99,8.08,12096,Michelle Lonsdale,Home Office,Northwest Territories,Northwest Territories,Technology,Telephones and Communication,5125,Small Box,0.59,19/09/2012,Returned
